version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;1;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;2;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;3;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;4;AfD;Alternative für Deutschland;#21c5ff;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;5;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;6;DIE LINKE;DIE LINKE;#cc0066;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;7;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;8;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;#0070c0;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;9;PIRATEN;Piratenpartei Deutschland;#ff8800;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;10;FREIE WÄHLER;FREIE WÄHLER;#366092;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;11;NPD;Nationaldemokratische Partei Deutschlands;#ff0000;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;12;ÖDP;Ökologisch-Demokratische Partei;#ff6600;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;13;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;#646464;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;14;Gesundheitsforschung;Partei für Gesundheitsforschung;#0d0d0d;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;15;MLPD;Marxistisch-Leninistische Partei Deutschlands;#ff0000;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;16;Die Humanisten;Partei der Humanisten;#1817c7;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;17;DKP;Deutsche Kommunistische Partei;#ff0000;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;18;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;#e10000;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;19;dieBasis;Basisdemokratische Partei Deutschland;#8db4e2;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;20;Bündnis C;Bündnis C - Christen für Deutschland;#0070c0;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;21;du.;Die Urbane. Eine HipHop Partei;#9fe1d6;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;22;LIEBE;Europäische Partei LIEBE;#ff0000;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;23;LKR;Liberal-Konservative Reformer;#7b7b7b;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;24;PdF;Partei des Fortschritts;#1817c7;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;25;LfK;>> Partei für Kinder, Jugendliche und Familien << - Lobbyisten für Kinder -;#ff9933;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;26;Team Todenhöfer;Team Todenhöfer - Die Gerechtigkeitspartei;#1817c7;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;27;Volt;Volt Deutschland;#6600cc;P
0.3;05914000;26.09.2021;Bundestagswahl;138;138 Hagen - Ennepe-Ruhr-Kreis I;28;Wir! Gemeinsam stark;Einzelbewerber Tropp;#646464;E
